"Title","Caption","Copyright","Node Type"
"The Community of Portuguese-Speaking Countries (CPLP) and AKDN sign a Protocol of Cooperation","Executive Secretary of the CPLP, Mr Domingos Simões Pereira, and the AKDN Representative for Portugal and Mozambique, Mr Nazim Ahmad, exchange compliments after the signature of the Protocol of Co-operation between the Community of Portuguese-Speaking Countries and the Aga Khan Development Network Foundation.","CPLP / Miguel Godinho","Press Release"
"Focus assists thousands of flood victims in Pakistan","The transportation of food and relief items continues to pose a challenge, due to road inaccessibility and poor weather conditions. Transportation of relief items is also carried out via foot as linkages to villages are inaccessible from the damage caused to roads and major pathways. The blockade of the Karakoram highway has made access to the mountainous regions of Gilgit Baltistan and Chitral difficult, which is home to approximately 2 million people.","FOCUS","Press Release"
"Free clinics in Pakistan promote microinsurance for healthcare","The First Microinsurance Agency (FMiA) strives to provide affordable insurance products that make health care easily available to poor families in Pakistan.","AKDN / Gary Otte","Press Release"
"The State of California and the Ismaili Imamat partner to confront poverty","Governor Arnold Schwarzenegger and the Aga Khan exchange agreements following the signing ceremony.","Zahur Ramji","Press Release"
"Aga Khan awarded an Honorary Doctorate at Cambridge University; UCA Scholars to study at Cambridge","Honorary Degree recipients Sir Peter Maxwell Davies, Bill Gates, Melinda Gates and His Highness the Aga Khan, in conversation with the Chancellor of the University of Cambridge, His Royal Highness the Duke of Edinburgh.","University of Cambridge","Press Release"
"Aga Khan Awarded an Honorary Doctorate at University of Cambridge; UCA Scholars to Study at Cambridge","His Highness the Aga Khan, Bill Gates and other Honorary Degree recipients processing into Senate House for the Degree ceremony.","University of Cambridge","Press Release"
"Focus Humanitarian Assistance receives UN Disaster Reduction Award","Focus Humanitarian Assistance and The Aga Khan Foundation (AKF) coordinated and assisted emergency relief operations following the earthquake that hit northern Pakistan in October 2005.","Carlino Luca, Karen SA ","Press Release"
"test page","","","Press Release"
"Microfinance activities expand in Syria","FMFI-S is the leading private-sector microfinance provider in Syria, providing access to financial services to its poorest and most marginalised populations.","AKDN / Jean-Luc Ray","Press Release"
"US$ 2.4 million Revitalisation of Forodhani Park in Zanzibar’s Historic Stone Town completed","The US$ 2.4 million restoration of Forodhani Park by the Aga Khan Trust for Culture has included  the restoration of the walkways, landscape improvements, infrastructure upgrading of lighting, sewage, drainage and civic amenities and the rehabilitation of the seawall fronting the Park.","AKTC","Press Release"
"Aga Khan reviews progress on AKDN projects in East Africa","His Highness the Aga Khan meets with Kenya's President, His Excellency Mwai Kibaki.","Aziz Islam Shah","Press Release"
"FMFB and Harvard University to research social performance","An entrepreneur has set up shop with a loan from the Aga Khan Agency for Microfinance (AKAM) in Shigar Village, Baltistan, Pakistan. AKDN and JICA are preparing programmes that jointly support microfinance in Pakistan.","Robin Oldacre-Reed ","Press Release"
"AKDN sponsors and participates in Governors’ Global Climate Summit 2","Governor Schwarzenegger of California greeting Dr. Mahmoud Eboo and David Boyer, who were representing the Prince Sadruddin Aga Khan Fund for the Environment.
","AKDN","Press Release"
"An urban park is inaugurated in Khorog, Tajikistan","Children's playgound, treed area, Khorog City Park, Tajikistan.    ","AKDN / Christian Richters ","Press Release"
"Remix Asia: A Catalyst for New Music","Performance of ""Bashraf and Qassida Fi Rahat-al-Arwah"" by Mustafa Said at Dar al-Assad Centre for Culture and Arts, Damascus.","AKDN","Press Release"
"Aga Khan University and University of California, San Francisco form partnership to help the underprivileged","Haile T Debas, MD, Executive Director of Global Health Sciences at UCSF, and AKU President Firoz Rasul sign a memorandum of understanding in the presence of California Governor Arnold Schwarzenegger and His Highness the Aga Khan.","Zahur Ramji","Press Release"
"Fastest Growing City in Africa Gets 103-hectare Urban Park","","","Press Release"
"Fastest growing city in Africa gets 103-hectare urban park","The garden spaces feature indigenous flora in varied settings, from open lawn areas to flower gardens, wooded areas and a medicinal garden.","AKTC","Press Release"
"AKTC receives UNESCO Award of Distinction for community-based restoration in Pakistan","Members of the community helping with the restoration of the Gulabpur Khanqah in Skardu, Baltistan. The community contributed around 40 percent of total costs, in cash and kind, with the Aga Khan Trust for Culture providing technical advice. Financial assistance was provided by the German Embassy in Islamabad.","Aga Khan Cultural Service Pakistan","Press Release"
"Kyrgyzstan’s President inaugurates new head office of the Kyrgyz Investment and Credit Bank","President Roza Otunbaeva and Prince Rahim Aga Khan unveil a commemorative plaque at the official opening of the new Head Office of the Kyrgyz Investment and Credit Bank, 23 March 2011.","AKDN / Sultan Dosaliev","Press Release"
"His Highness the Aga Khan receives the 2011 University of California, San Francisco Medal","Chancellor Susan Desmond-Hellman presents His Highness the Aga Khan with the 2011 University of California San Francisco Medal, the University's highest honour.","UCSF / Noah Berger","Press Release"
"Aga Khan Award for Architecture’s 12th cycle launched;  Award now open for submissions","Madinat al Zahra Museum in Cordoba, Spain was a 2010 Awards cycle recipient.","Aga Khan Award for Architecture","Press Release"
"Aga Khan Planning and Building Service a finalist for Ashden Awards for Sustainable Energy","The Building and Construction Improvement Programme (BACIP) has designed over 15,000 energy-efficient and living condition improvement products such as these fuel-efficient, smoke-free stoves, which have been installed in various households in South and Central Asia
","AKDN","Press Release"
"Clean energy pioneer AKPBS receives prestigious Environmental Prize for BACIP programme in Pakistan","Princess Zahra Aga Khan and Hafiz Sherali, Chairman of the Aga Khan Planning and Building Service, Pakistan, accepting the award from His Excellency Greg Barker, UK Government Minister for Climate Change.","AKDN / Nadia Bettega","Press Release"
"President Kibaki and Aga Khan open Aga Khan University Hospital's Heart and Cancer Centre","The Aga Khan University Hospital’s Heart and Cancer Centre in Nairobi.","Neil Thomas","Press Release"
"New Graduate School of Media and Communications launched at Aga Khan University in Kenya","The Honourable Professor Helen Jepkermoi Sambili, Minister for East African Community and Acting Minister for Higher Education, the Right Honourable Raila Odinga, Prime Minister of Kenya, His Highness the Aga Khan, and Firoz Rasul, President of the Aga Khan University stand for the national anthem.","Ejaz Karmali","Press Release"
"Focus Pakistan assists in evacuating victims affected by collapse of Karachi’s Lyari Building","The FOCUS Search and Rescue Team is equipped with and trained for light-to-medium search and rescue operations.","FOCUS","Press Release"
"Tajik and Afghan officials inaugurate Vanj bridge built by AKDN as part of Cross-border Initiatives","The Vanj Bridge joins three other bridges at Darwaz, Tem, and Ishkashim as part of the Aga Khan Development Network’s multi-sector cross-border development strategy. Since 2002, the bridges have served as the primary connection between Tajikistan’s Gorno-Badakhshan Oblast and Afghanistan’s Badakhshan Province.","AKDN","Press Release"
"The Aga Khan Music Initiative and Al Mawred Al Thaqafy bring together Arab and Central Asian musicians at Sixth Remix Music Workshop in Aswan","Sirojiddin Juraev from Tajikistan, Badiaa Bou Hreizi from Tunisia, and Rebal Alkhodri from Syria. The 6th Remix music workshop, Aswan, Egypt. ","Yahya Diwer","Press Release"
"University of Central Asia publishes two volumes, rich historical ethnographic research on the Kyrgyz küü","The Kyrgyz Küüs: Analysis, Thoughts, and Opinions, Volumes I and II ","","Press Release"
"1.5 Million trees to be planted in Kenya by AKDN and Lions Clubs International","Pupils of the Aga Khan Academy Nairobi in Nairobi City Park at the launch of the Lions-AKDN Tree Planting Initiative. ","AKDN / Aziz Islamshah","Press Release"
"Aga Khan Music Initiative's songs and albums earn Music Award Nominations","Music of Central Asia Vol. 7, 8 and 9.","","Press Release"
"Microfinance client wins Micro-Entrepreneurship Award","Ms. Hina Rabbani Khar, Minister of State for Foreign Affairs, presenting Mr. Purdum Wali with the Best National Micro-Entrepreneur Award, Male at the recent Citi-PPAF Micro-entrepreneurship Awards 2010 ceremony held in Islamabad.","AKDN","Press Release"
"AKDN and the International Baccalaureatet team up to improve access to quality education in developing world","Princess Zahra Aga Khan, Head of the Aga Khan Development Network’s  Social Welfare Department and Jeff Beard, Director General of the International Baccalaureate (IB) signing a Memorandum of Understanding that will improve access to quality education in the developing world. His Highness the Aga Khan, Chairman and founder of the AKDN and Carol Bellamy, Chair of the IB Board of Governors look on.","AKDN / Bruno Cohen","Press Release"
"Aga Khan Development Network and French government sign an agreement for cooperation in Syria","His Excellency Mr. Eric Chevallier, France’s Ambassador to Syria and His Excellency Mr. Mohamed Seifo, AKDN’s Resident Representative in Syria at the signing of the Partnership Convention between AKDN and the French Government.","","Press Release"
"President Amadou Toumani Touré opens Centre for Earthen Architecture in Mali","Centre for Earthen Architecture, Mopti, Mali","Lucas Cuervo Moura","Press Release"
"Istanbul Opening for “Treasures of the Aga Khan Museum: Arts of the  Book and Calligraphy”","One of the masterpieces of the Aga Khan Museum to be displayed in the exhibition : the Ottoman box made from ivory, gold, turquoise and rubies by Safavid Iranian craftsmen in Istanbul for Sultan Suleiman the Magnificent. ","AKTC","Press Release"
"Brazil and the Ismaili Imamat sign Protocol to support development activities","The Ambassador of Brazil to Mozambique, António de Souza e Silva (left), and the Representative of the Aga Khan Development Network in Portugal and Mozambique, Nazim Ahmad (right), signing the Protocol between the Government of Brazil and the Ismaili Imamat, as the Minister of Foreign Affairs of Brazil, Celso Amorim (centre), looks on.","AKDN Mozambique","Press Release"
"Prince Hussain signs Charter of Climate Action at Governors' Global Climate Summit 3","Prince Hussain Aga Khan signed the Charter for Regions of Climate Action (R20 Charter) on behalf of the Aga Khan Development Network at the Governors' Global Climate Summit 3, held at the University of California at Davis on November 16, 2010.","AKDN / Farhez Rayani ","Press Release"
"Five projects receive 2010 Aga Khan Award for Architecture; Oleg Grabar receives Chairman’s Award","The Wadi Hanifa Wetlands in Riyadh, Saudi Arabia. A programme of works that aims to restore and develop Wadi Hanifa as an environmental, recreational and tourism resource is a 2010 cycle Award recipient.","Aga Khan Award for Architecture","Press Release"
"خمسة مشاريع تحصل على جائزة الآغا خان للعمارة 2010 أوليغ غرابار يستلم ""جائزة الرئيس""","","","Press Release"
"Microfinance Beneficiaries Showcase and Sell Products in Maadi District of Cairo","","","Press Release"
"Mozambique’s historic Polana Serena hotel restored","A view of the rear of the hotel at night.","Jon Ivins","Press Release"
"The Musical Arts of the Pamirs:  University of Central Asia launches Series on Pamir Music and Heritage","The author of the Musical Arts of Pamirs Dr Nizom Nurdjanov (right) speaking at the book launch of The Musical Arts of the Pamirs, with Dr Bahriniso Kabilova (left) in Dushanbe, 21 January 2011.
","Mikhail Romanyuk ","Press Release"
"Trees for food, fuel and fodder","An irrigation channel, pipe siphon and land development project of the Aga Khan Rural Support Programme (AKRSP) in Narthang, Baltistan (Pakistan). Planting of poplar trees is the first stage of land development after irrigation channels have been built, transforming the desert landscape.  ","Robin Oldacre-Reed ","Press Release"
"His Highness the Aga Khan receives ULI J.C. Nichols Prize for visionaries in urban Development","The restored 900-year-old Altit Fort in Hunza, Pakistan, which was cited by the ULI jury as an example of the Aga Khan's cultural heritage work.","Naeem Safi ","Press Release"
"Exhibition from Aga Khan Museum collection inaugurated by King of Spain and Aga Khan in Madrid","His Highness the Aga Khan speaking with Their Majesties the King and Queen of Spain   at the inauguration of ""The Islamic Worlds in the Aga Khan Museum Collection"" exhibition in Madrid.","AKDN/Hinrick Schmoock","Press Release"
"Aga Khan urges a civil society partnership between developed and developing countries","His Highness the Aga Khan addresses the convocation.","AKDN/Zahur Ramji","Press Release"
"40 Central Asian Musicians and Dancers","","","Press Release"
"Aga Khan accepts Royal Toledo Foundation Award for work in revitalising historic cities of the Islamic World","His Highness the Aga Khan meeting with His Majesty Juan Carlos I in Toledo. ","AKDN / Jean-Luc Ray","Press Release"
"Aga Khan expresses sympathy and announces support for relief assistance","Pakistani soldiers are preparing to carry casualties on stretchers out of one of the four AKF helicopters dispatched to the area.","Carlino Luca, Karen SA","Press Release"
"Response of the Aga Khan Development Network in Pakistan to the Earthquake of 8 October 2005","An old man and a father caring for his child are here seen in one of the four AKF helicopters which were dispatched to the region to deliver food, supplies and emergency medical care and help evacuate victim. Over 1500 casualties were evacuated by The Aga Khan Foundation (AKF) in this way in Pakistan following the October 8, 2005 earthquake.  ","Carlino Luca, Karen SA ","Press Release"
"International conference on school safety: Towards building safer schools","School rehabilitated by Focus in Sadnay, Gorno-Badakhshan Autonomous Oblast, Tajikistan. The valley of the Murghob river in Tajikistan is prone to natural disasters as a future earthquake may cause landslides or even breach the natural Usoi dam that forms Lake Sarez, unleashing about 17 cubic kilometres of water down the valley. For this reason, Focus humanitarian assistance operates a number of disaster preparedness programmes. This school was rehabilitated by Focus and built using a special seismic structure. ","AKDN / Jean-Luc Ray","Press Release"
"The Stans revealed Via Kabul: Central Asia Without Borders","Music of Central Asia Vol. 2, Invisible Face of the Beloved Classical Music of the Tajiks and Uzbeks The Academy of Maqâm","","Press Release"
"Aga Khan Music Initiative in Central Asia: March 2006 USA Tour of Via Kabul: Central Asia Without Borders","Tengir Too group portrait.","Kate Vincent ","Press Release"
"UK and Aga Khan Development Network jointly sponsor new scholarships (press backgrounder)","","AKDN / Gary Otte","Press Release"
"His Highness meets with rural communities in Cabo Delgado, one of Mozambique’s most vulnerable provinces","The Aga Khan visits the preschool in Natugo village.","Gary Otte","Press Release"
"Aga Khan and Kenya President Kibaki inaugurate the first of an international network of Academic Centres of Excellence","His Excellency President Mwai Kibaki and His Highness the Aga Khan walking on the site of the Aga Khan Academy, Mombasa.","AKDN/Gary Otte","Press Release"
"Aga Khan University helps tackle health sector reform in East Africa","The AKU Advanced Nursing Studies programme offers continuing and higher education up to BScN level to working nurses, allowing them to remain at their workplaces while pursuing professional development, Kampala, Uganda.","Zul Mukhida","Press Release"
"Spirit & Life: Masterpieces of Islamic art from the Aga Khan Museum collection","Albarello, Syria, 15th century (ceramic; fritware, underglaze painted in blue and black) - Spirit & Life: Masterpieces of Islamic Art from the Aga Khan Museum Collection at the Ismaili Centre, London from 14 July – 31 August 2007.","AKTC","Press Release"
"Nine Projects receive the 2001 Aga Khan Award for Architecture","Prime Minister Mohammad Mustafa Miro presents Dr. Bachir Diallo, Director of Kahere Elia Poultry Farming School, Guinea, with his certificate.","AKDN/Gary Otte","Press Release"
"Government of Canada and Aga Khan sign funding agreement for Global Centre for Pluralism","His Highness the Aga Khan is greeted on Parliament Hill by The Right Honourable Stephen Harper, Prime Minister of Canada.","AKDN/Gary Otte","Press Release"
"Aga Khan plans university campus in Kazakh mountains","His Highness the Aga Khan visiting potential sites for the University of Central Asia (UCA) in Tekeli with Frederick Starr, Rector of the UCA (right), the Education Minister Shamsha Berkimbayeva (left, 2nd row) and the Governor of Almaty Oblast Kulmakhanov (middle). ","AKDN / Gary Otte","Press Release"
"Aga Khan and President Assad agree on future collaboration","Conservation work of the West wall, Citadel of Aleppo, Syria, 2001. Involvement in Syria commenced in 1999 in response to a request to AKTC (Aga Khan Trust for Culture) from the Syrian Directorate of Antiquities and Museums to provide technical assistance for the conservation and reuse of the three citadels in Syria : Aleppo, Masyaf and Salah al-Din.","AKDN / Gary Otte","Press Release"
"Lead architect and landscape architect selected for University of Central Asia campuses","Tajik campus at Dasht, an elevated triangular terrace just northwest of Khorog. The University of Central Asia was founded in 2000 by His Highness the Aga Khan and the Presidents of Kyrgyzstan, Kazakhstan and Tajikistan to help find solutions to the unique economic and social development challenges faced by the Central Asian mountain regions. It will operate on three campuses, one in each country.","AKDN / Jean-Luc Ray","Press Release"
"Aga Khan's expanding vision for Central Asia looks beyond current tensions in the region","His Highness the Aga Khan with the President of the Kyrgyz Republic Askar Akaev at the signing ceremony of an Agreement of Cooperation for Development.","AKDN / Patrick Ruchdi","Press Release"
"Aga Khan outlines expanded development initiatives for Tanzania","His Highness the Aga Khan (left) shaking hands with Tanzanian President Benjamin Mkapa (right) after signing an Agreement of Co-operation for Development.","AKDN / Gary Otte","Press Release"
"Aga Khan and Zanzibar government agree on Seafront Initiative","Zanzibar Stone Town, Aerial view, Tanzania. ","AKDN / Gary Otte","Press Release"
"Restoration of Mopti’s Great Mosque Completed","","","Press Release"
"Bellerive Foundation merges with the Aga Khan Foundation","His Highness the Aga Khan and Princess Catherine at the luncheon marking the merger of the Bellerive Foundation and the Aga Khan Foundation, Geneva,  31 May 2006.","AKDN / Jean-Luc Ray","Press Release"
"President Museveni and Aga Khan inaugurate Kampala Serena hotel","His Highness the Aga Khan and His Excellency President Museveni walk to the conference centre for the official opening ceremony.","AKDN/Gary Otte","Press Release"
"World Habitat Award 2006 for Aga Khan Planning and Building Services","The Building and Construction Improvement Programme (BACIP) has designed over 15,000 energy-efficient and living condition improvement products such as these fuel-efficient, smoke-free stoves, which have been installed in various households in South and Central Asia
","AKDN","Press Release"
"Yo-Yo Ma and Silk Road Ensemble perform in Central Asia in collaboration with the Aga Khan Music Initiative","Central Asia Tour 2003, Yo-Yo Ma and the Silk Road Ensemble, Bishkek Concert, 24 April 2003.","AKDN / Aziz Islamshah","Press Release"
"Aga Khan delivers laudatory address for Victor Yushchenko, winner of the 2006 Die Quadriga Prize","His Highness giving the laudatory address for Viktor Yushchenko, President of The Ukraine, at the 2006 Die Quadriga Award Ceremony.","AKDN / Gary Otte","Press Release"
"Aga Khan honoured at Nui Maynooth","The Aga Khan enrobed for the ceremony.","Maxwell","Press Release"
"His Highness the Aga Khan in the United Kingdom to mark Golden Jubilee visit","His Highness the Aga Khan.","AKDN / Gary Otte","Press Release"
"Steering Committee for Aga Khan Award's Eleventh Cycle (2008-2010) announced","","","Press Release"
"McMaster and AKU sign MOU for expanded partnership","His Highness the Aga Khan and The Honourable Bev Oda, Minister of International Cooperation at the signing ceremony.","AKDN / Gary Otte","Press Release"
"Inauguration of the Delegation of the Ismaili Imamat in Ottawa, Canada","Interior view of the Delegation of the Ismaili Imamat on Sussex Drive in Ottawa, Canada. ","AKDN / Gary Otte","Press Release"
"France and AKDN in agreement on development","The Signing of the Convention de partenariat.","AKDN/Gary Otte","Press Release"
"FMFB-Pakistan and FMFB-Tajikistan among Top-100 MFIs in 2008 MIX Global 100 Rankings","This FMFB-Pakistan client from Lahore, Punjab, is seen making motorcycle spare parts. She is one of FMFB-P's many clients who have been encouraged to improve their living standards.","AKDN","Press Release"
"Aga Khan visits Central Asia","His Highness the Aga Khan, accompanied by Dr. Zhanseit Tuimebayev, Kazakhstan's Minister of Education, reviews plans for the Tekeli campus of the University of Central Asia.","AKDN/Gary Otte","Press Release"
"His Highness the Aga Khan meets with Singapore Foreign Minister","His Highness the Aga Khan meeting Singapore’s Minister for Foreign Affairs, George Yeo","Ministry for Foreign Affairs of Singapore","Press Release"
"Aga Khan University hosts Summit on Chronic Diseases in Kampala, Uganda","Princess Zahra Aga Khan speaking at the summit on Chronic Diseases, held 5-7 February 2009 in Kampala, Uganda. ","AKDN / Zahir Rehemtulla    ","Press Release"
"Two agreements for reducing the risk of natural disasters in Tajikistan","The valley of the Murghob river in Tajikistan is prone to natural disasters as a future earthquake may cause landslides or even breach the natural Usoi dam that forms Lake Sarez, unleashing about 17 cubic kilometres of water down the valley. For this reason, Focus humanitarian assistance operates a number of disaster preparedness programmes. In this photo, people are walking across a footbridge built by Focus after its formal inauguration. The bridge was built to give villagers access to other areas. ","AKDN / Jean-Luc Ray ","Press Release"
"Aga Khan in Lisbon for talks with Cardinal Patriarch and Foreign Minister","His Highness the Aga Khan being greeted by His Eminence D. Jose Policarpo, the Cardinal Patriarch of Lisbon and Chancellor of the Catholic University of Portugal (UCP).","AKDN/Ricardo Oliveira and Nuno Saraiva","Press Release"
"Aga Khan meets German Chancellor Merkel to discuss expanding cooperation","His Highness the Aga Khan meets Dr. Angela Merkel, Chancellor of Germany at the Chancellery in Berlin.","AKDN/Hinrik Schmoock","Press Release"
"AKPBS Water and Sanitation Programme receives Best Practices Award","The projects of the Water and Sanitation Extension Programme (WASEP) in Pakistan, like this water filtration system in Gilgit-Baltistan, are being replicated with the support of governments, donors and partners.","AKDN","Press Release"
"France grants Aga Khan titles of “Grand Mécène” and “Grand Donateur”","Prince Amyn Aga Khan speaking with His Highness the Aga Khan and France's Minister for Culture, Christine Albanel, before the ceremony honouring the Aga Khan with the titles of Grand Patron (Grand Mécène) and Grand Donor (Grand Donateur) in recognition of his outstanding contribution to cultural development in France as well as the numerous cultural programmes implemented by the cultural agencies of the Aga Khan Development Network throughout the world.","Farida Bréchemier / MCC","Press Release"
"AKDN at the Governors’ Global Climate Summit","Princess Khaliya Aga Khan, Prince Hussain Aga Khan, Dr. Mahmoud Eboo, President of the Aga Khan Council for the USA, with California Governor Arnold Schwarzenegger at the Governors’ Global Climate Summit, held at the Beverly Hilton Hotel on November 18-19.","Malik Hashim","Press Release"
"His Highness the Aga Khan in Canada to discuss development partnerships, celebrate Golden Jubilee","The Delegation of the Ismaili Imamat building on Sussex Drive, Ottawa.","AKDN / Moez Visram","Press Release"
"Spiritual Sounds of Central Asia: Nomads, Mystics and Troubadours","With the release of ""Alim and Fargana Qasimov"", six volumes of a ten-part series created in collaboration with the Smithsonian Institution are now available. For more information, visit http://www.folkways.si.edu/ and enter ""Central Asia"" in the search box.","","Press Release"
"His Highness the Aga Khan visits Portugal on the occasion of his Golden Jubilee (Press Advisory)","His Highness the Aga Khan.","AKDN / Gary Otte","Press Release"
"Aga Khan University and Catholic University of Portugal sign agreement of academic collaboration","The Aga Khan University’s Institute for the Study of Muslim Civilisations (top left), based in London, will lead the collaboration, working with the Faculties of Law and Theology, and the Institute of Oriental Studies of the Catholic University of Portugal. ","AKDN / Gary Otte","Press Release"
"Afghanistan rehabilitation and relief accelerates despite heightened tension","FOCUS volunteers working with UNHCR delivering food, water, hygiene kits as well as mother and child kits.","","Press Release"
"Aga Khan expands microfinance to reduce vulnerability of the Poor","His Highness the Aga Khan at a Press Conference announcing the launch of the new Aga Khan Agency for Microfinance (AKAM) in the company of James Wolfensohn, President of the World Bank (3rd left) and John Fergusson, AKDN Head of the Department of Public Affairs (2nd left). ","AKDN / Jean-Luc Ray","Press Release"
"Aga Khan arrives in Syria on the occasion of His Golden Jubilee","Children present His Highness the Aga Khan with flowers upon his arrival in Syria. Syrian Minister for Tourism, Sadallah Agha Al-Qala (Courtesy Minister) is overlooking. ","AKDN / Gary Otte","Press Release"
"Aga Khan University signs agreement to further health and education development in Syria","Dr Ghiath Barakat, Minister of Higher Education, and Mr Firoz Rasul, President of Aga Khan University, sign an agreement to further develop the healthcare sector in the country. The signing of the agreement was witnessed by His Highness the Aga Khan and Prime Minister Muhammad Naji Al-Otri.","AKDN/Gary Otte","Press Release"
"Aga Khan Development Network and Government of Syria sign agreements to foster social and cultural development","Mr. Mahmud Janmohamed, Managing Director of Tourism Promotion Services (TPS) and Dr Bishr Mazen Al-Sabban, the Governor of Damascus, sign an agreement announcing the investment of approximately $20 million towards the building of a 5-star hotel that will involve the restoration and adaptation of three houses in Old Damascus. The signing of the agreement was witnessed by His Highness the Aga Khan and Prime Minister Muhammad Naji Al-Otri (2nd row, 3rd left). ","AKDN / Gary Otte","Press Release"
"Aga Khan inaugurates Aleppo Citadel Project","The Aga Khan walks through Aleppo's citadel after the ceremony, accompanied by Prime Minister, Muhammad Naji Al-Otri and Mr Seifo, AKDN Syria's Resident Representative.","AKDN/Gary Otte","Press Release"
"Aga Khan Agency for Microfinance expands operations in Madagascar","Première Agence de MicroFinance, Antananarivo, Madagascar.","Alain Lits","Press Release"
"First MicroFinanceBank pioneers housing finance in Afghanistan","Even very basic-added activities such as manufacturing doors and window frames in Afghanistan can be very profitable enterprises for people with the right skills.","First MicroFinanceBank Afghanistan ","Press Release"
"Aga Khan Agency for Microfinance expands in Egypt","AKAM client, Nadia (left), runs a small garment shop from her home in Aswan. Since 2006, she has taken two consecutive loans for 2'000 and 4'000 EGP to successfully expand her shop and increase her monthly income. ","AKDN / Jean-Luc Ray","Press Release"
"Roshan announces expansion of Afghanistan’s first telemedicine project to Bamyan Region","Customers buy mobile phones inside the main Roshan shop in Kabul.","AKDN / Jean-Luc Ray","Press Release"
"""Drop, Cover and Hold on"": AKDN takes part in global earthquake preparedness","Children in daycare at Aga Khan University in Pakistan practice the Drop, Cover Hold On technique, ShakeOut 2011, 18 October 2011.","Zahra Ismail","Press Release"
"New Aga Khan Music Initiative project brings music from Syria and Iran to the United States","""Sound: The Encounter"" consists of Syrian saxophonist Basel Rajoub, Iranian bagpipe (neyanbân) player and singer Saeid Shanbehzadeh, and Saeid's son, Naghib Shanbehzadeh, performing on Iranian and Middle Eastern percussion.","Sebastian Schutyser/Aga Khan Music Initiative","Press Release"
"“Building for a Better Life” exhibition opens at UIA2014 Durban, South Africa","Salam Cardiac Surgery Centre, winner of a 2013 Aga Khan Award for Architecture. ","AKAA / Raul Pantaleo","Press Release"
"University of Central Asia to help strengthen good governance in Afghanistan through training for District Governors","The Independent Directorate of Local Governance (IDLG) of the Islamic Republic of Afghanistan and the UCA signed a Memorandum of Understanding to increase the capacity of civil servants in Afghanistan through UCA’s Local Economic and Community Development (LECD) certificate programme.","AKDN / Mikhail Romanyuk","Press Release"
"Aga Khan University’s Chancellor and Trustees decide to expand in Tanzania","His Highness the Aga Khan, Chancellor of the Aga Khan University, reviewing the master plan and design for a new 42-acre campus on Sam Nujoma Road which will house both the Aga Khan University Institute for Educational Development serving master’s level students and an Aga Khan Academy for middle and secondary school students. ","AKDN / Zahur Ramji","Press Release"
"Aga Khan Museum to open on September 18th","A 14th century planispheric astrolabe from the Iberian peninsula in the Aga Khan Museum collection. ","Aga Khan Museum","Press Release"
"Canadian Prime Minister Stephen Harper and Aga Khan open  the Ismaili Centre Toronto and Aga Khan Museum","The entrance to the Aga Khan Museum as seen across on of the reflecting pools that form the shape of a traditional char-bagh, or four-part, garden. ","AKDN / Gary Otte","Press Release"
