"Title","Caption","Copyright"
"Address to both Houses of the Parliament of Canada in the House of Commons Chamber","His Highness the Aga Khan delivers a historic address to a joint session of the Parliament of Canada on 27 February 2014, at the invitation of Prime Minister Stephen Harper.","AKDN / Gary Otte"
"Address to both Houses of the Parliament of Canada in the House of Commons Chamber","His Highness the Aga Khan delivers a historic address to a joint session of the Parliament of Canada in the House of Commons.","AKDN / Gary Otte"
"Address to both Houses of the Parliament of Canada in the House of Commons Chamber","His Highness the Aga Khan delivers a historic address to a joint session of the Parliament of Canada in the House of Commons, Ottawa.","AKDN / Zahur Ramji"
"Launch of the Oncology Programme of the Aga Khan Hospital, Dar es Salaam","Princess Zahra speaking at the launch of the Oncology Programme, part of a five-year expansion of the Aga Khan Hospital, Dar es Salaam.","AKDN / Zahur Ramji"
"First Anniversary of the Mindanao University","His Highness the Aga Khan speaking at the First Anniversary Celebration of Mindanao State University where His Highness was the Chief Guest. ","AKDN/H. Merchant"
"Honorary Doctorate (Honoris Causa) at Peshawar University","His Highness the Aga Khan delivering a speech after receiving an Honorary Doctorate at Peshawar University.","AKDN"
"Honorary Doctorate of Laws from the University of Sindh","His Highness the Aga Khan speaking after receiving an Honorary Degree of Doctorate of Laws conferred by the University of Sindh, Jamshoro, during a special convocation.","AKDN"
"Asia Society, Islamic architecture: a revival","His Highness the Aga Khan.","AKDN"
"Presentation of Academic Awards, London University","Following the presentation of the diplomas, His Highness the Aga Khan addresses the new graduates at the University of London Institute of education. ","AKDN / Christopher Little"
"Commencement ceremony at the Brown University","His Highness the Aga Khan speaking to a Western academic audience at Brown University. ","AKDN / Gary Otte"
"International Development Conference","His Highness the Aga Khan.","AKDN / Gary Otte"
"Opening of the Smithsonian Folklife Festival","His Highness the Aga Khan speaking at the opening ceremony of the Smithsonian Folklife Festival.","AKDN/Zahur Ramji"
"Aga Khan University Convocation in Karachi, 2006","His Highness the Aga Khan, Chancellor of the Aga Khan University, speaking at the 2006 Convocation ceremony of the University.","AKDN / Gary Otte"
"Speech by Dr. Ishrat Ul Ebad Khan, Governor of Sindh","His Excellency Dr Ishrat Ul Ebad Khan, Governor of Sindh, the Chief Guest at the Convocation, delivers his address. ","AKDN / Gary Otte"
"Speech by Maryam Baqir, Valedictorian, Class of 2013, Aga Khan University","His Highness the Aga Khan, Chancellor of the Aga Khan University presented degrees to the students of the Class of 2013 at this year’s Convocation. ","AKDN / Otte"
"Speech by Maryam Baqir, Valedictorian, Class of 2013, Aga Khan University","Maryam Baqir, the Class of 2013 Valedictorian addresses the Convocation.","AKDN / Gary Otte"
"Aga Khan University Convocation ","AKU’s President Firoz Rasul addresses the Convocation.","AKDN / Gary Otte"
"Aga Khan University Convocation","",""
"Aga Khan University Convocation","His Highness the Aga Khan, Chancellor of the Aga Khan University, speaking at the 2013 Convocation ceremony of the University.","AKDN / Gary Otte"
"Aga Khan Award for Architecture Closing Ceremony, Marrakech","His Highness addressing the audience at the Aga Khan Award for Architecture (AKAA) 1986 ceremony.","AKDN / Gary Otte"
"Aga Khan Award for Architecture Ceremony, Granada","His Highness the Aga Khan and His Royal Majesty the King Juan Carlos presenting his certificate to Professor Charles Correa, architect winner for the Vidhan Bhavan project (India) at the 1998 Aga Khan Award for Architecture held in the Alhambra Palace. ","Jose Torres"
"Aga Khan Award for Architecture Ceremony, Solo","His Highness the Aga Khan at the 1995 Aga Khan Award for Architecture's ceremony.","AKDN / Gary Otte"
"Aga Khan Award for Architecture Ceremony, Samarkand","His Highness the Aga Khan addressing the audience at the Fifth Aga Khan Award for Architecture Ceremony in Samarkand's historic Registan Square. ","AKDN / Gary Otte"
"Aga Khan Award for Architecture Ceremony, Cairo","His Highness the Aga Khan addressing the audience at the Aga Khan Award for Architecture (AKAA) 1989 ceremony. ","AKDN / Gary Otte"
"Aga Khan Award for Architecture Ceremony, Marrakech","His Highness the Aga Khan speaking at the Aga Khan Award for Architecture ceremony, as Crown Prince Hassan Ibn Talal of Jordan (left) and Crown Prince Sidi Mohamed of Morocco look on. ","AKDN / Gary Otte"
"Aga Khan Award Ceremony, Istanbul","His Highness the Aga Khan addressing the audience at the Aga Khan Award for Architecture (AKAA) 1983 ceremony held at the Topkapi Palace in Istanbul.","AKDN / Christopher Little"
"Aga Khan Award for Architecture Ceremony, Lahore","Ranjit Sabikhi (left) Indian architect and Ramesh Khosla (right), Canadian designer, posing with His Highness the Aga Khan after receiving the Aga Khan Award for Architecture for their design of the Sheraton Mughal Hotel at Agra, India. ","AKDN / Christopher Little"
"Presentation of the Gold Medal by the Royal Architectural Institute of Canada","His Highness the Aga Khan, recipient of the 2013 Royal Architectural Institute of Canada Gold Medal, addresses the audience gathered at the Delegation of the Ismaili Imamat in Ottawa, upon receiving the honour.","AKDN / Farhez Rayani"
"Interview with His Highness the Aga Khan","His Highness the Aga Khan.","AKDN / Gary Otte"
"A Quarter Century of Change: Interview with Suha Özkan, Secretary General of the AKAA","Suha Ozkan, Secretary General of the Aga Khan Award for Architecture.","AKTC"
"A Quarter Century of Change: Interview with Suha Özkan, Secretary General of the AKAA","Suha Özkan, Secretary General of the AKAA, speaking at the Award ceremony seminar in 2004.","Courtesy of AKAA"
"Inauguration ceremony of the Aga Khan Academy, Hyderabad","Salim Bhatia, Director of the Aga Khan Academies Network, speaking at the Inauguration of the Aga Khan Academy, Hyderabad.","AKDN / Gary Otte"
"Inauguration ceremony of the Aga Khan Academy, Hyderabad","His Highness the Aga Khan speaking at the inauguration ceremony of the Aga Khan Academy, Hyderabad.","AKDN / Gary Otte"
"Inauguration ceremony for the restoration of Humayun's Tomb","His Highness the Aga Khan speaking at the inauguration of Humayun’s Tomb in Delhi. ","AKDN / Gary Otte"
"Award Ceremony for the 12th Cycle of the Aga Khan Award for Architecture","His Highness the Aga Khan addresses the audience during the award ceremony of the 12th cycle of the Aga Khan Award for Architecture, presented in Lisbon, Portugal. ","AKDN / Gary Otte"
"Aga Khan University Convocation","His Highness the Aga Khan, Chancellor of the Aga Khan University, speaking at the University's 16th Convocation in Karachi. ","AKDN / Gary Otte"
"Global Centre for Pluralism - Introduction of Kofi Annan, who delivered the Pluralism Lecture","His Highness the Aga Khan introducing Kofi Annan, the speaker for the annual Pluralism Lecture.","Bonnie Findley / Global Centre for Pluralism"
"Global Centre for Pluralism - Introduction of Kofi Annan, who delivered the Pluralism Lecture","",""
"UNESCO Conference in China","His Highness the Aga Khan delivers the keynote address at the international congress on the role of culture in development in Hangzhou, China. ","AKDN / Katharina Hesse"
"Discurso proferido pelo Professor Manuel Braga da Cruz na Assinatura do Memorando de Entendimento entre a Universidade Aga Khan e a Universidade Católica Portuguesa ","Professor Manuel Braga da Cruz, Rector of the Catholic University of Portugal (UCP), speaking at the signing ceremony of the Memorandum of Understanding between the AKU and the Catholic University of Portugal held at the Ismaili Centre in Lisbon.","AKDN / Gary Otte"
"Cerimónia de inauguração do Hotel Polana Serena","Mozambique’s president, His Excellency Armando Guebuza addresses the gathering during the inauguration of the renovated Polana Serena Hotel. ","AKDN / Zahur Ramji"
"Inauguration ceremony of the Bujagali hydropower project","His Highness the Aga Khan addresses the gathering at the inauguration of the Bujagali power plant.","AKDN / Gary Otte"
"Speech by Nizar Juma, Chairman of Bujagali Energy Ltd at the inauguration ceremony of the Bujagali hydropower project","Nizar Juma, Chairman of Bujagali Energy Ltd and Chairman of Industrial Promotions Services (IPS), speaking at the inauguration of the Bujagali power plant. ","AKDN / Gary Otte"
"Foundation ceremony of the FMIC Women's Wing","His Highness the Aga Khan speaking at the foundation ceremony for the new Women's Wing at FMIC as Afghanistan's Vice President, Mohammad Karim Khalili, and Foreign Minister Laurent Fabius of France look on.","AKDN / Gary Otte"
"Royal Toledo foundation award ceremony","His Highness the Aga Khan receives the Royal Foundation of Toledo Award from His Majesty the King, Juan Carlos I in Toledo, who is also Patron of the Toledo Foundation. ","AKDN / Jean-Luc Ray"
"Royal Toledo foundation award ceremony","His Highness the Aga Khan makes his acceptance remarks at the Royal Foundation ceremony in Toledo. ","AKDN / Jean-Luc Ray"
"Renewal of the Partnership Agreement between AKF Portugal and the Patriarchate of Lisbon","",""
"Renewal of the Partnership Agreement between AKF Portugal and the Patriarchate of Lisbon","Prince Amyn addressing the audience in Lisbon, 09 May 2012.","Nuno Saraiva"
"Urban Land Institute's annual conference leadership dinner","The 2012 leadership gathering of the Urban Land Institute Europe Annual Conference was held in Paris. The ULI a global non-profit education and research institution that seeks to provide leadership in the responsible use of land and in sustaining and creating thriving communities worldwide.","ULI / Karla Gowlett"
"Urban Land Institute's annual conference leadership dinner","His Highness the Aga Khan, who was awarded the J.C. Nichols Prize in 2011, addresses a leadership dinner at the Urban Land Institute Europe Annual Conference held in Paris.","ULI / Karla Gowlett"
"Ceremony conferring the Honorary Doctorate at the University of Ottawa","His Highness the Aga Khan addresses the University of Ottawa convocation, where he was awarded an honorary doctorate.","AKDN / Zahur Ramji"
"Speech by President Emomali Rahmon for the inauguration ceremony of Dushanbe Serena hotel","The ceremony marking the inauguration of the Dushanbe Serena Hotel took place in the hotel’s Millat banquet room.","AKDN / Mikhail Romanyuk"
"Speech by President Emomali Rahmon for the inauguration ceremony of Dushanbe Serena hotel","His Excellency Emomali Rahmon, President of Tajikistan shares a light moment with guests in his speech at the inauguration of the Dushanbe Serena Hotel. Seated on stage, from left to right: His Excellency Davlatali Saidov, Chairman of the State Committee on Investment and Management of State Property; His Highness the Aga Khan; and Prince Amyn Aga Khan, Executive Director of AKFED. ","AKDN / Gary Otte"
"Official opening of Dushanbe Serena hotel","Prince Amyn Aga Khan congratulates President Emomali Rahmon after the President and His Highness the Aga Khan unveiled the plaque marking the inauguration of the Dushanbe Serena Hotel.","AKDN / Gary Otte"
"Official opening of Dushanbe Serena hotel","Prince Amyn Aga Khan addressing the guests at the inauguration of the Dushanbe Serena Hotel. ","AKDN / Gary Otte"
"Inauguration ceremony of the Dushanbe Serena hotel","His Highness the Aga Khan addressing guests at the inauguration of the Dushanbe Serena Hotel.","AKDN / Gary Otte"
"Launch of Lions Clubs International-AKDN Tree Planting Initiative","Prince Hussain addresses the gathering at Nairobi's City Park.","AKDN/Aziz Islamshah"
"Foundation ceremony for the AKU Graduate School of Media and Communications","His Highness the Aga Khan speaking at the Foundation Ceremony of the Aga Khan University Graduate School of Media and Communications.","Aziz Islamshah"
"Speech by Dov Zerah at the official opening of the Aga Khan Heart and Cancer Centre at AKUH, Nairobi","Dov Zerah, Chief Executive Officer of Agence Française de Développement (AFD), addressing the audience at the inauguration of the Aga Khan University Hospital’s Heart and Cancer Centre. ","AKDN / Ejaz Karmali    "
"Official opening of the Aga Khan Heart and Cancer Centre, AKUH, Nairobi","President Kibaki addresses the gathering at the inauguration of the Aga Khan University Hospital’s Heart and Cancer Centre in Nairobi. ","AKDN / Aziz Islamshah"
"Inauguration of the Heart and Cancer Centre at AKUH, Nairobi","His Highness the Aga Khan addresses those gathered for the inauguration of the Aga Khan University Hospital Heart and Cancer Centre in Nairobi.","AKDN / Aziz Islamshah"
"2011 Ashden Awards","His Excellency Greg Barker, UK Government Minister for Climate Change., speaking at the 2011 Ashden Awards.","AKDN / Nadia Bettega"
"2011 Ashden Awards","Princess Zahra Aga Khan, Head of the Social Welfare department of the Aga Khan Development Network, speaking at the Ashden Awards.","AKDN / Nadia Bettega"
"Remarks by Kyrgyz Republic President Roza Otunbaeva at the inauguration of the new Head Office of the Kyrgyz Investment and Credit Bank","President of Kyrgyz Republic Roza Otunbaeva speaking at the opening ceremony of the Kyrgyz Investment and Credit Bank new Head Office. ","AKDN / Sultan Dosaliev    "
"Inauguration of the new head office of the Kyrgyz Investment and Credit Bank","President of Kyrgyz Republic Roza Otunbaeva speaking at the opening ceremony of the Kyrgyz Investment and Credit Bank new Head Office. ","AKDN / Sultan Dosaliev    "
"Inauguration of the new head office of the Kyrgyz Investment and Credit Bank","Prince Rahim Aga Khan speaking at the opening ceremony of the Kyrgyz Investment and Credit Bank new Head Office.","AKDN / Sultan Dosaliev"
"Inauguration of the restoration of the Polana Serena hotel in Maputo, Mozambique","A view of the rear of the hotel at night.","Jon Ivins"
"Inauguration of the restoration of the Polana Serena hotel in Maputo, Mozambique","His Highness the Aga Khan addresses the gathering during the inauguration of the renovated Polana Serena Hotel.","AKDN / Zahur Ramji"
"Inauguration of the restoration the Polana Serena hotel in Maputo, Mozambique","Prince Amyn Aga Khan delivers his address  during the Inauguration Ceremony for the renovated Polana Serena Hotel.","AKDN / Zahur Ramji"
"Speech by Oleg Grabar, Recipient of the 2010 Chairman’s Award","His Highness Sheikh Hamad bin Khalifa Al Thani the Emir of Qatar presents a certificate to Professor Oleg Grabar who was awarded the Chairman’s Award in recognition of his lifetime contribution to the field of Islamic art and architecture, as Her Highness Sheikha Moza bint Nasser and His Highness the Aga Khan look on. Photo: AKDN / Gary Otte
صاحب السمو الشيخ حمد بن خليفة آل ثاني أمير دولة قطر يسلم جائزة رئيس الجائزة للبروفسور أوليغ غرابار، الذي تسلم جائزة الرئيس تقديراُ للجهود التي بذلها خلال مسيرة حياته في دراسة العمارة الإسلامية، بينما تبدو في الصورة صاحبة السمو الشيخة موزة بنت ناصر المسند، وصاحب السمو الآغا خان.
تصوير غاري أوتي، شبكة الآغا خان للتنمية
",""
"2010 Aga Khan Award for Architecture Ceremony","His Highness the Aga Khan speaking to the assembled guests at the Aga Khan Award for Architecture ceremony, held at the Museum of Islamic Art in Doha, Qatar. Photo: AKDN / Gary Otte
سمو الآغا خان يتحدث إلى الضيوف خلال حفل توزيع جائزة الآغا خان للعمارة الذي أقيم في الدوحة، قطر.
تصوير غاري أوتي، شبكة الآغا خان للتنمية",""
"Speech by Frédéric Mitterrand at the presentation of decorations to His Highness the Aga Khan and Prince Amyn Aga Khan","France’s Minister for Culture and Communication, Frédéric Mitterrand addressing the guests at the ceremony in Paris where His Highness the Aga Khan received the insignia of Commander of the Order of Arts and Letters (Commandant de l'ordre des Arts et des Lettres) and Prince Amyn Aga Khan received the insignia of Officer of the Order of Arts and Letters (Officier de l'ordre des Arts et des Lettres).","Farida Bréchemier / MCC"
"Inauguration of ""Treasures of the Aga Khan Museum: Arts of the Book and Calligraphy"", Sakip Sabanci Museum","Prince Amyn Aga Khan speaking at the ceremony in Paris after he received the insignia of Officer of the Order of Arts and Letters.","Farida Bréchemier / MCC"
"Inauguration of ""Treasures of the Aga Khan Museum: Arts of the Book and Calligraphy"", Sakip Sabanci Museum","From left, Director Dr. Nazan Olcer of the Sakip Sabanci Museum, Ministery of Tourism and Culture Undersecretary Ismail Yilmaz, Sabancı Holding Chariperson Guler Sabancı, Prince Amyn Aga Khan, Sevil Sabanci and Luis Monreal, General Manager of the Aga Khan Trust for Culture.","AKTC"
"Welcome address by John Ralston Saul - LaFontaine-Baldwin Symposium ","Mr John Ralston Saul, prominent Canadian essayist and novelist, speaking at the10th annual LaFontaine-Baldwin Symposium. ","Henrieta Haniskova "
"Introduction by The Rt. Hon. Adrienne Clarkson - LaFontaine-Baldwin Symposium ","Former Governor General of Canada, the Right Honourable Adrienne Clarkson introduces His Highness the Aga Khan at the 10th annual LaFontaine-Baldwin Symposium in Toronto, where His Highness delivered the keynote lecture. She described His Highness as somebody who ""embodies the values that we Canadians most cherish and the actions that have created the country that we are. He not only celebrates diversity, he also honours the differences between people that can paradoxically give them their greatest bond.""","AKDN / Zahur Ramji"
"10th Annual LaFontaine-Baldwin Lecture","His Highness the Aga Khan delivers the LaFontaine-Baldwin Lecture in Toronto, Canada. His Highness talked about the long history of pluralism, the intensification of these challenges and how best to respond to that challenge. ""The world we seek is not a world where difference is erased, but where difference can be a powerful force for good, helping us to fashion a new sense of cooperation and coherence in our world, and to build together a better life for all,"" said the Aga Khan.","AKDN / Zahur Ramji"
"Inauguration ceremony of the National Park of Mali","His Highness the Aga Khan delivering his address at the Opening Ceremony of the National Park of Mali. / Son Altesse l’Aga Khan prononce son discours à la cérémonie d’ouverture du Parc National du Mali.","AKDN / Gary Otte"
"Inauguration ceremony of the National Park of Mali","The National Park of Mali in Bamako was developed under a public-private partnership between the Government of Mali and the Aga Khan Trust for Culture (AKTC).","Christian Richters"
"Statement at the Kabul Conference on Afghanistan ","",""
"Foundation ceremony of the Ismaili Centre, Toronto, the Aga Khan Museum and their park ","Prime Minister Stephen Harper speaking at the Foundation Ceremony in Toronto.","AKDN/Zahur Ramji"
"Foundation ceremony of the Ismaili Centre, the Aga Khan Museum and their park","His Highness the Aga Khan speaking at the Foundation Ceremony, where Prime Minister Stephen Harper was the chief guest.","AKDN/Gary Otte"
"Foundation ceremony of the Ismaili Centre, the Aga Khan Museum and their park","",""
"Foundation ceremony of the Ismaili Centre, the Aga Khan Museum and their park","The Aga Khan Museum, adjacent to the Ismaili Centre, Toronto, looking through the formal gardens. ","Imara Wynford Drive    "
"Foundation ceremony of the Ismaili Centre, the Aga Khan Museum and their park","",""
"""Marketplace on Innovative Financial Solutions for Development""","His Highness the Aga Khan addresses the Marketplace on Innovative Financial Solutions for Development in Paris on 4 March 2010.","AKDN / Gary Otte"
"Foreword by His Highness the Aga Khan for the Daily Nation 50th Anniversary special supplement","His Highness the Aga Khan delivering the Founder’s Address at the Pan Africa Media conference, celebrating the 50th Anniversary of the Nation Media Group.","AKDN / Gary Otte"
"Foreword by His Highness the Aga Khan for the Daily Nation 50th Anniversary special supplement","His Highness the Aga Khan.","AKDN / Gary Otte"
"Conference marking the 50th Anniversary of the Nation Media Group: ""Media and the African Promise""","His Highness the Aga Khan delivering the Founder’s Address at the Pan Africa Media conference, celebrating the 50th Anniversary of the Nation Media Group.","AKDN / Gary Otte"
"Conference marking NMG's 50th Anniversary","His Excellency President Mwai Kibaki addresses the conference during the Pan Africa Media conference, celebrating the 50th Anniversary of the Nation Media Group. ","AKDN / Gary Otte"
"London Conference on Afghanistan","His Highness the Aga Khan with US Secretary of State Hilary Clinton during the opening session of the London Conference on Afghanistan at Lancaster House.","Newsteam.co.uk/Crown Copyright"
"Nouvel Economiste Philanthropic Entrepreneur of the Year 2009 Award","His Highness the Aga Khan addressing the audience before receiving Le Nouvel Economiste's ""Prix de l'Entrepreneur philanthropique de l'année 2009 - Philanthropic Entrepreneur of the Year 2009 Award"".","AKDN / Gary Otte"
