"Title","Caption","Copyright","Node Type"
"Aga Khan University to set up modern hospital in Uganda ","AKU’s President Firoz Rasul addresses the Convocation. Karachi, 19 December 2014","AKDN/Gary Otte","In the media"
"A walk through India’s rich heritage ","Facade, scaffolding from roof","AKDN/Christian Richters","In the media"
"Nizamuddin keeps alive dastangoi","Hazrat Nizamuddin Dargah, Nizamuddin Basti, New Delhi, India.","Ram Rahman ","In the media"
"Serena Kigali tops in hospitality","Kigali Serena Hotel","AKDN","In the media"
"French agency to lend $16m to AKUH for expansion ","The Aga Khan University’s Medical College in Karachi, Pakistan.","AKDN / Gary Otte","In the media"
"Aga Khan commends Canada on leadership","His Highness the Aga Khan and President Kikwete of Tanzania greet one another in the presence of Prime Minister Stephen Harper and Mrs. Laureen Harper.","AKDN / Zahur Ramji","In the media"
"Jubilee wins 30-year pact to operate Bujagali","The Bujagali Hydropower project, which now supplies almost 50 percent of the electricity of Uganda.","AKDN","In the media"
"Dr Bhutta receives WHO Family Health Foundation Prize","Women and Child Health, AKUH Karachi","AKDN/Gary Otte","In the media"
"New link between Qutub Shahi and Golconda fort discovered","Qutub Shahi Tombs, India","AKTC India","In the media"
"Foundation empowers smallholders in rice and sesame production ","The Coastal Rural Support Programme in Tanzania, or CRSP(T), is a multi-input area development programme of the Aga Khan Foundation (AKF). Local farmers here are being trained on conservation agriculture in maize and cassava fields.","AKDN / Lucas Cuervo Moura","In the media"
"AKUH solar shuttle fetches award ","Founded by His Highness the Aga Khan and chartered in 1983 as Pakistan's first private university, Aga Khan University's (AKU) objective is to promote human welfare in general, and the welfare of the people of Pakistan in particular, by disseminating knowledge and providing instruction, training, research and service in the health sciences, education and such other branches of learning as the University may determine. ","AKDN/Garry Otte","In the media"
"AKDN in Sh128bn health deal","Princess Zahra and Dr Seif Seleman Rashid, Tanzania’s Minister for Health and Social Welfare, launch the new Oncology Programme at the Aga Khan Hospital, Dar es Salaam.","AKDN / Zahur Ramji","In the media"
"Coast teachers to be trained in Sh2.4 billion project","The Aga Khan Academy, Mombasa, Kenya.","AKDN / Gary Otte","In the media"
"Shaky Mughal tomb complex in Delhi gets a new life","Mughal Tomb, New Dehli, India","AKTC India","In the media"
"NMG, Bidco named among 16 African ‘global growth companies’ ","Nation Media Group","AKDN","In the media"
"Aga Khan Foundation presents new books for children","The Reading for Children (RfC) programme, Kenjylga Village, Kyrgyz Republic.","AKDN / Jean-Luc Ray","In the media"
"UCA, Aga Khan Foundation sign MOU with Badakhshan University in Afghanistan","UCA’s School of Professional and Continuous Education (SPCE) is supporting professional development at government teacher training institutions, as well as private education centres in rural Afghan provinces.","AKDN / Mikhail Romanyuk","In the media"
"Aga Khan Foundation: Bringing world-class health care to hard-to-reach communities","The Aga Khan Health Care Centre in Mwanza is one of several primary health service facilities operated by the Aga Khan Health Services in Tanzania. The centre provides a range of services including outpatient care and free maternal and child health services in collaboration with the Government. ","AKDN / Lucas Cuervo Moura","In the media"
"Aga Khan hospitals to be linked in health expansion strategy","The Aga Khan Health Care Centre in Mwanza is one of several primary health service facilities operated by the Aga Khan Health Services in Tanzania. The centre provides a range of services including outpatient care and free maternal and child health services in collaboration with the Government. ","AKDN / Lucas Cuervo Moura","In the media"
"PamirEnergy begins synchronization of power system in Gorno Badakhshan","As a result of Pamir Energy’s efforts, 70 percent of its customers in GBAO (those who are connected to the main grid) now enjoy 24 hours of power a day for the first time since the end of the Soviet era, while the remaining 30 percent receive 16-18 hours of power a day.","AKDN","In the media"
"Smart Telecom re-launches mobile services in Burundi","Telco launch","AKDN","In the media"
"Aga Khan Hospital bags top award ","The Aga Khan University Hospital, Nairobi, Kenya. ","AKDN / Zahur Ramji    ","In the media"
"Achievements: Chitral witnesses improvement in child survival","Aga Khan University’s Department of Community Health Sciences, which provides critical health and socio-economic support to the squatter settlements of Karachi, received the 2009 MacJannet Prize for Global Citizenship.","AKDN / Gary Otte","In the media"
"Aga Khan receives top hospital accreditation ","In 2005, the AKU Hospital, Nairobi, was created as a teaching hospital. Postgraduate medical education is already in place, in Nairobi and Dar es Salaam. The Hopital's aim is to be a premier tertiary care facility for Eastern Africa. ","AKDN/Garry Otte","In the media"
"Schools: Nurturing talent for a global future ","AKA Hyderabad","AKDN/Gary Otte","In the media"
"Spirit of pluralism shines at academy ","AKA Hyderabad","AKDN/Gary Otte","In the media"
"Aga Khan Academy gets going in Hyderabad ","AKA Hyderabad","AKDN/Gary Otte","In the media"
"Aga Khan Academy at Hyderabad formally launched","AKA Hyderabad","AKDN/Gary Otte","In the media"
"Aga Khan elogia papel de Portugal no Mundo","His Highness the Aga Khan meeting His Eminence D. Jose Policarpo, the Cardinal Patriarch of Lisbon and Chancellor of the Catholic University of Portugal (UCP).","AKDN/Ricardo Oliveira and Nuno Saraiva","In the media"
"Azania Bank Donates Sh5 Million to Breast Cancer Campaign","","","In the media"
"Khusrau festival to come alive at Nizamuddin","Hazrat Nizamuddin Dargah, Nizamuddin Basti, New Delhi, India.","Ram Rahman ","In the media"
"Vision 2030 boss hails Aga Khan hospital initiatives ","Aga Khan University Hospital, Nairobi, Kenya.","AKDN / Gary Otte","In the media"
"The life and times of exponent Amir Khusrau at IHC","Meeting in Basti, Nizamuddin Basti, New Delhi, India.   ","AKDN / Christian Richters","In the media"
"Prospects of Cooperation between Tajikistan and AKDN discussed in Dushanbe","This field in Shurobod, Tajikistan grows potatoes that will then be processed in a factory set up with a grant and a loan from MSDSP and the Aga Khan Agency for Microfinance.","AKDN / Jean-Luc Ray ","In the media"
"Dar hospital set to perform heart surgeries","The Aga Khan Hospital, Dar es Salaam. ","AKDN / Jean-Luc Ray ","In the media"
"School kids visit Isa Khan's restored tomb in Delhi","Humayun's Tomb overview","AKDN/AKTC","In the media"
"Two buildings in Africa among 5 of the world’s best","Cafeteria terrace of the container medical compound, Salam Cardiac Surgery Centre, Khartoum, Sudan.","AKAA / Raul Pantaleo","In the media"
"Freedom to learn & grow","The Aga Khan Academy, Hyderabad, India.","AKDN / Gary Otte","In the media"
"Humayun’s Tomb renovation helping marginalised families","Hazrat Nizamuddin Dargah, Nizamuddin Basti, New Delhi, India.","Ram Rahman ","In the media"
"First MicroCredit gets EBRD loan in Kyrgyz some equivalent to US$ 1.5 mln","AKAM - FMCC Kyrgyz Republic","AKDN","In the media"
"A musical bridge","Homayun Sakhi playing rubab. ","Kate Vincent","In the media"
"16th-century lotus pond found in Sunder Nursery ","Conservation and nursery developement works in Sunder Nursery ","AKDN/Ram Rahman ","In the media"
"AKUH introduces cardiology services in Hyderabad","Founded by His Highness the Aga Khan and chartered in 1983 as Pakistan's first private university, Aga Khan University's (AKU) objective is to promote human welfare in general, and the welfare of the people of Pakistan in particular, by disseminating knowledge and providing instruction, training, research and service in the health sciences, education and such other branches of learning as the University may determine. ","AKDN/Garry Otte","In the media"
"Life around the tombs","Restoration of the plinth of Humayun's Tomb.","AKTC","In the media"
"Dar gets Sh130bn new cancer clinic","Princess Zahra and Dr Seif Seleman Rashid, Tanzania’s Minister for Health and Social Welfare, launch the new Oncology Programme at the Aga Khan Hospital, Dar es Salaam.","AKDN / Zahur Ramji","In the media"
"Monumental effort","Humayun's Tomb overview","AKDN/AKTC","In the media"
"AKFED expands its telecoms presence in Africa","Outside the main Roshan shop in Kabul, people line up to buy mobile phones and Sim Cards.","AKDN/Jean-Luc Ray","In the media"
"Medical breakthrough at Aga Khan University Hospital, Nairobi: Pioneering operation to treat high blood pressure","The Aga Khan University Hospital, Nairobi, Kenya. ","AKDN / Zahur Ramji    ","In the media"
"The Aga Khan","His Highness the Aga Khan with Peter Mansbridge, chief correspondent of CBC News.","AKDN / Moez Visram","In the media"
"Aga Khan: ‘Without a doubt, I am seriously worried’ about the world ","His Highness the Aga Khan","","In the media"
"Aga Khan IV: A visionary philanthropist and passionate champion of Muslim heritage ","His Highness the Aga Khan","","In the media"
"Aga Khan network leads volunteers to plant trees in Mt Kenya forest","Employees of the Amboseli Serena Safari Lodge plant trees in the Mau forest in Kenya as part of a programme that is planting 10 million trees in Kenya alone.","Serena Hotels / AKFED","In the media"
"More than 74 percent of Pamir-Energy’s customers provided with regular electricity supply","PamirEnergy, a project company of the Aga Khan Fund for Economic Development, is operating all power generation, transmission and distribution facilities of GBAO under a 25-year concession agreement with the Government of Tajikistan. In its initial phase PamirEnergy doubled the installed capacity at the Pamir I power plant, enabling most of the plant’s Khorog customers to have electricity 24 hours a day for the first time since the end of the Soviet era. Now cross-border transmission lines between Tajikistan and Afghanistan enable PamirEnergy to also export surplus power to Shugnan, Afghanistan and Afghan Ishkashim. ","AKDN / Jean-Luc Ray","In the media"
"Aga Khan School honoured for leading the way in using ICT in teaching and learning","The Aga Khan High School, Nairobi, Kenya","AKDN/Jean-Luc Ray","In the media"
"AKU – PDCN provides books and teaching aid material to schools in Ghanche, Baltistan ","","","In the media"
"Autonomisation des femmes : un cheval de bataille de la fondation Aga Khan","The Aga Khan Agency for Microfinance (AKAM) Mali, provides micro loans which have allowed women to improve their standard of living. Women accounted for 40 percent of borrowers at the end of the year 2010.","AKDN/Lucas Cuervo Moura","In the media"
"Helping hand: Exhibition displays work of home-based women entrepreneurs","The Islamabad Serena Hotel.","AKDN","In the media"
"Serena in Sh400m makeover","Mara Serena Safari Lodge","AKDN","In the media"
"Grand makeover for Humayun’s Tomb","The restoration of Humayun’s Tomb, the resting place of the second Mughal emperor and a precursor to the Taj Mahal, was inaugurated on 18 September 2013.","AKDN / Gary Otte","In the media"
"First graduating class of Aga Khan Academy","AKA Hyderabad","AKDN/Gary Otte","In the media"
"Toronto’s Aga Khan Park: Inspired by Islamic gardens around the world","A view of the Aga Khan Park with the Aga Khan Museum in the background. ","AKDN / Tom Arban","In the media"
"AKUH starts first-aid service at Dolmen Mall ","The Aga Khan University Hospital in Karachi, Pakistan.","AKDN / Gary Otte","In the media"
"UCA Celebrates First Graduates of Certificate Programme in Policy Analysis ","IPPA’s focus is on economic policy, the ways in which government action can promote equitable growth; and on the management of public services (education, health, social welfare, etc.) to examine how programmes can be made more effective and efficient.","AKDN / Mikhail Romanyuk ","In the media"
"Neonatal care unit at AKU renovated ","The Aga Khan School of Nursing in Karachi, Pakistan.","AKDN / Gary Otte","In the media"
"Water and Sanitation: German govt and AKDN help improve lives in Gilgit Baltistan and Chitral ","A water filtration system above Altit, in the Northern Areas of Pakistan. The Aga Khan Planning and Building Service was named the 2005 winner of the US $1 million Alcan Prize for Sustainability.","","In the media"
"Humayun’s Tomb to get new, lookalike finial","The conservation of the dome of Humayun's Tomb.","AKTC","In the media"
"Jubilee to provide affordable health cover through M-Pesa","Jubilee Insurance, Kenya.","AKDN","In the media"
"To mark the Aga Khan's 78th birthday, here's a look at his museum in Toronto","The entrance to the Aga Khan Museum as seen across on of the reflecting pools that form the shape of a traditional char-bagh, or four-part, garden. ","AKDN / Mo Govindji","In the media"
"NMG scoops Africa award for promoting agriculture","Nation Media Group","AKDN","In the media"
"Operation successful: Conjoined twins separated through surgery at AKUH","The Aga Khan School of Nursing in Karachi, Pakistan.","AKDN / Gary Otte","In the media"
"Geographic Information Systems Laboratory Opens at the University of Central Asia","UCA’s School of Professional and Continuous Education (SPCE) is supporting professional development at government teacher training institutions, as well as private education centres in rural Afghan provinces.","AKDN / Mikhail Romanyuk","In the media"
"Aga Khan Academy nurturing students beyond classrooms","The Aga Khan Academy, Mombasa, Kenya.","AKDN / Lucas Cuervo Moura","In the media"
"PamirEnergy now provides electricity to Darvoz district as well","PamirEnergy, a project company of the Aga Khan Fund for Economic Development, is operating all power generation, transmission and distribution facilities of GBAO under a 25-year concession agreement with the Government of Tajikistan. In its initial phase PamirEnergy doubled the installed capacity at the Pamir I power plant, enabling most of the plant’s Khorog customers to have electricity 24 hours a day for the first time since the end of the Soviet era. Now cross-border transmission lines between Tajikistan and Afghanistan enable PamirEnergy to also export surplus power to Shugnan, Afghanistan and Afghan Ishkashim. ","AKDN / Jean-Luc Ray","In the media"
"Noble profession: Country's first batch of trained midwives graduates today","The Aga Khan University’s Medical College in Karachi, Pakistan.","AKDN / Gary Otte","In the media"
"ECHO, AKF UK sign agreement to implement the 8th Disaster Preparedness Project in Central Asia","Focus Humanitarian Assistance runs a programme in Gorno-Badakhshan to raise awareness of potential natural disasters and improve community preparedness in the event of such a disaster. Part of the project involves installing two-way radio systems for use in such events and training on how to use them. This building, a private home, houses a radio, which is powered by the solar panels on the roof. ","AKDN / Jean-Luc Ray","In the media"
"Aga Khan Academy selected as a Microsoft “Showcase School”","Students at Aga Khan Academy in Mombasa, Kenya. The Academy has received certification as one of 150 Microsoft ""Showcase Schools"". ","AKDN / Gary Otte","In the media"
"Développement durable dans la région de Mopti : Aga Khan améliore les conditions d’existence de 200 000 personnes","The Reading for Children programme (RfC) contributes to the Mopti Coordinated Area Development Programme that AKF has been implementing since 2008 to improve the overall quality of life for beneficiaries in the Mopti Region, one of the poorest in the country. Being read to as a child is one of the strongest predictors of later academic success. Reading at home also reinforces positive relationships with the family.  ","AKDN / Nathalie Gagne","In the media"
"Aides sociales à Mopti : Orange-Mali et Aga Khan offrent 4 maternités aux populations","The maternités rurales which AKF helped to establish in Mopti, Mali have helped to dramatically reduce the incidence of maternal and newborn death.","AKDN / Lucas Cuervo Moura","In the media"
"Aga Khan University Hospital introduces video assisted chest surgery","The Aga Khan Hospital in Nairobi, Kenya.","AKDN / Zahur Ramji","In the media"
"Firoz Rasul -AKU graduates create jobs and change the world","At a ceremony marking the graduation of students from the Aga Khan University in Nairobi on 2 March 2015, His Highness the Aga Khan announced that the University will offer undergraduate degrees in Medicine and Nursing, as well as graduate professional education, as part of an investment in the region totalling over US$ 1.1 billion. ","AKDN / Zahur Ramji","In the media"
"Aga Khan University Hospital introduces rare procedure to treat chronic pain","The Aga Khan University Hospital, Nairobi, Kenya. ","AKDN / Zahur Ramji    ","In the media"
"Rare birds return to Sundar Nursery","Conservation and nursery developement works in Sunder Nursery ","AKDN/Ram Rahman ","In the media"
"Aga Khan University trains West Nile educationists on leadership","Over 1,600 working teachers have completed IED East Africa's Certificate in Education programme and become part of the effort to improve teacher quality and student learning across the region. ","AKDN / Paul Joynson-Hicks","In the media"
"Qutb Shahi Monuments to Be Restored ","Qutub Shahi Tombs, India","AKTC India","In the media"
"Barah Khamba Tomb restored for visitors","Barah Khamba Tomb ","AKTC","In the media"
"Barjeel Art Foundation collaborates with Aga Khan Museum in Toronto","The Aga Khan Museum in Toronto.","AKDN / Zahur Ramji","In the media"
"Aga Khan Hospital to provide free cancer treatment sessions","In 2005, the AKU Hospital, Nairobi, was created as a teaching hospital. Postgraduate medical education is already in place, in Nairobi and Dar es Salaam. The Hopital's aim is to be a premier tertiary care facility for Eastern Africa. ","AKDN/Garry Otte","In the media"
"Aga Khan Hospital steps in to ease KNH cancer care crisis","The Aga Khan University Hospital, Nairobi, Kenya. ","AKDN / Zahur Ramji    ","In the media"
"University of Central Asia Celebrates Afghan Graduates of Certificate Programme in Policy Analysis","IPPA’s focus is on economic policy, the ways in which government action can promote equitable growth; and on the management of public services (education, health, social welfare, etc.) to examine how programmes can be made more effective and efficient.","AKDN / Mikhail Romanyuk ","In the media"
"Humayun’s Tomb gets its finial back","The conservation of the dome of Humayun's Tomb.","AKTC","In the media"
"Grow it, mine it, build it, or invent it: For Aga Khan University, books are the best way to curate change in civil society","Among the graduands of the Nairobi convocation ceremony were 87 students of the Medical College’s Postgraduate Medical Education programme and the School of Nursing and Midwifery. Twenty-one students were awarded Master of Medicine degrees, alongside 39 Bachelor of Science in Nursing and 27 Diploma in Nursing graduates. ","AKDN / Zahur Ramji","In the media"
"Aga Khan: Civil society key to improving quality of life ","In the AKU convocation ceremony held in Dar es Salaam, Tanzania, on 24 February 2015, 37 graduates received the Master of Education degree; three received the Master of Medicine degree; and 18 graduates were conferred with the degree of Bachelor of Science in Nursing. ","AKDN / Zahur Ramji","In the media"
"Tanzania’s Kikwete grants the Aga Khan University charter","At the graduation of 49 students from the School of Nursing and Midwifery and eight students from the Institute for Educational Development in Uganda, His Highness the Aga Khan spoke of the “multiplier effect” that they would have in building civil society. ","AKDN / Zahur Ramji","In the media"
"TOI Social Impact Awards 2015: How they came together for some natural choices","The Aga Khan Rural Support Programme (AKRSP) works with communities to construct simple rain-water harvesting mechanisms to channel monsoon rains from roofs into covered cisterns. Mangrol, Gujarat, India.  ","AKDN / Jean-Luc Ray","In the media"
"Budget boost for Qutub Shahi Tombs","Qutub Shahi Tombs","AKDN/Luis Monreal","In the media"
"Aga Khan University media school to open this month","The valedictorian speech at AKU’s convocation ceremony in Dar es Salaam, Tanzania, was presented by Tabitha Alexandria Njeri Nyanja, a graduate of the Master of Medicine programme.","AKDN / Zahur Ramji","In the media"
"Mali: Malnutrition en 5ème région : Le Di-dèguè fortifié pour améliorer les conditions de vie des enfants","The Rural Support Programme, in the Mopti Region of Mali, follows the AKDN approach of working in partnership with local communities to improve agricultural productivity and rural livelihoods. The programme’s goal is to increase access to improved crop varieties - rice being the most important - promote viable private supply systems and develop rural infrastructure. The improvement of livelihoods in these communities is expected to lead to better overall health status and higher levels of literacy.","AKDN / Lucas Cuervo Moura ","In the media"
"Taj inspiration to get a retouch","Tomb of Abdul Rahim Khan-i-Khanan","Michael Brand / Courtesy Aga Khan Visual Archive, MIT","In the media"
"Aga Khan varsity set to expand","Arusha campus site, Tanzania.","AKU","In the media"
"Aga Khan Hospital opens heart surgery laboratory","The Aga Khan Hospital, Dar es Salaam. ","AKDN / Jean-Luc Ray ","In the media"
"German govt and Aga Khan Development Network inaugurate Safe Drinking Water and Sanitation schemes","The projects of the Water and Sanitation Extension Programme (WASEP) in Pakistan, like this water filtration system in Gilgit-Baltistan, are being replicated with the support of governments, donors and partners.","AKDN","In the media"
"Aga Khan University to train teachers","Remote teachers can request assistance by uploading text messages to Moodle (a virtual learning environment) through which faculty can track comments and provide support.","AKDN / Jean-Luc Ray","In the media"
"Building on faith: Inside Toronto’s new Aga Khan Museum, designed by the world’s leading architects","The Aga Khan Museum in Toronto.","AKDN / Zahur Ramji","In the media"
"Residents applaud foundation for key education project","Community-based Savings Groups (CBSGs) in Nanaganga, Tanzania. ","AKDN / Lucas Cuervo Moura ","In the media"
"Aga Khan Trust for Culture restores the historic Citadel in Herat","The Citadel of Herat - Afghanistan","AKDN","In the media"
"Tile by tile","Humayun's Tomb overview","AKDN/AKTC","In the media"
"Museveni lauds Aga Khan Hospital for good services","AKU campus, Kampala, Uganda","AKDN/Gary Otte","In the media"
"You have one liver, take care of it","In 2005, the AKU Hospital, Nairobi, was created as a teaching hospital. Postgraduate medical education is already in place, in Nairobi and Dar es Salaam. The Hopital's aim is to be a premier tertiary care facility for Eastern Africa. ","AKDN/Garry Otte","In the media"
"UAE donations help fund school project in Afghanistan","AKF focuses on the operation of community-based pre-schools, located in the home of a community member who receives special training in ECD teaching methods. This training is linked to parenting education and mothers' literacy classes","AKDN / Caroline Arnold","In the media"
"Nation Media launches ‘Business Daily’ e-paper","Nation Media Group","AKDN","In the media"
"PM Otorbayev, Aga Khan Development Network Representative discuss AKDN projects in Kyrgyzstan","Aerial view of Phase I construction of Naryn campus buildings, which will include the academic building (front right) and two student dormitory buildings (back left). ","AKDN","In the media"
"The Aga Khan gets North-South Prize","His Excellency Aníbal Cavaco Silva, the President of the Republic of Portugal presents His Highness the Aga Khan with the 2013 North-South Prize.","Photo: AKDN/ José Manuel Boavida Caria","In the media"
"The Lancet: Stitches to save lives","","","In the media"
"Kyrgyzstan: Yurt Preschools Reach Nomadic Children","Jailoo Kindergarten, Kyrgyz Republic.","AKDN","In the media"
"Aga Khan University to expand in East Africa ","A depiction of the Aga Khan University’s future campus in Arusha,Tanzania. The Faculty of Arts and Sciences in Arusha will not only be comparable to Karachi’s campus in size and scope, but it will also be the University’s first permanent campus serving students from all across the East African community.","AKDN","In the media"
"Preserving history: Aga Khan Trust helping restore Royal Bath","Wazir Khan Hammam conservation, Lahore, Pakistan. Designs in the muqarnas ceiling over the central dome are now revealed as part of the conservation process. ","AKTC/Christian Richters","In the media"
"UCA Completes Construction of Khorog Intercity Road to the Dasht Village","The 2.5 km Dasht road handed over to Khorog Municipality and the State Commission Departments is part of several infrastructure projects completed by UCA that contribute to communities neighbouring its future campus site.","UCA/Shavqat Mazabshoev","In the media"
"Aga Khan Health Service launches US$ 55,000 International Healthcare Management Program","The Aga Khan Hospital, Dar es Salaam. ","AKDN / Jean-Luc Ray ","In the media"
"Tajik Badakhshan helps save lives in Afghan Badakhshan","As part of the government programme, AKHS is supporting 18 health facilities in Rushan District, Tajikistan.","AKDN / Jean-Luc Ray","In the media"
"Aga Khan in heart feat","The Aga Khan University Hospital, Nairobi, Kenya. ","AKDN / Zahur Ramji    ","In the media"
"Give children life skills, says varsity boss","Aga Khan Foundation is supporting the creation of locally owned early childhood centres in Kenya, Tanzania and Uganda  fostering pre-school environments in children’s formative years.","AKDN / Zul Mukhida","In the media"
"Aga Khan Hospital Scores Another First Regional Heart Surgery ","The Aga Khan Hospital in Nairobi, Kenya.","AKDN / Zahur Ramji","In the media"
"Barring AKU, no medical college recognised in US ","The Aga Khan University’s Medical College in Karachi, Pakistan.","AKDN / Gary Otte","In the media"
"Aga Khan hospital hosts free breast cancer screening in Dar","MRI scanner at the Aga Khan Hospital, Dar es Salaam, Tanzania.","AKDN / Jean-Luc Ray","In the media"
"Humayun's Tomb set to get site museum ","The restored dome of Humayun's tomb.","AKTC","In the media"
"Parc national rénové, quatre ans et une splendeur intacte","The National Park of Mali in Bamako was developed under a public-private partnership between the Government of Mali and the Aga Khan Trust for Culture (AKTC).","Christian Richters","In the media"
"Aga Khan museum: A global symbol of light, pluralism and culture","Ivory horn (oliphant) : This rare carved ivory tusk is an exceptional example of the dissemination and exchange of visual culture across the eastern Mediterranean among the Fatimids (909–1171), the Byzantine Empire, and the Italian city-states. One of a few examples surviving in major museum collections, it was carved in Sicily or southern Italy, with images derived from Fatimid court culture. The tusk is decorated with a hunting scene comprising real and mythical animals running in file across its length. The exquisite carved decoration on the horn, and the English silver mounts that were added in the seventeenth century, suggest that it may have served a ceremonial role. Its original function is understood by some as a hunting horn and by others as a wine horn. ","AKDN","In the media"
"Aga Khan Museum launched in Canada ","The Museum collection contains some of the greatest artistic achievements of Islamic civilisations. ","Gary Otte / AKDN","In the media"
"UCA IPPA, Tajik IPA launch certificate program on policy analysis","Participants and University of Central Asia’s Institute of Public Policy and Administration (UCA-IPPA) staff engage in discussion.","AKDN / Mikhail Romanyuk ","In the media"
"UCA celebrates 220 graduates from Tajikistan and Afghanistan","English language instructor Nigina Noebshoeva with students at the SPCE in Khorog, Tajikistan. Since it opened in 2006, UCA’s Town Campus in Khorog has buzzed with activity as youth and adult learners alike engage in courses at the School of Professional and Continuing Education (SPCE). The facility is equipped with state-of-the-art learning technologies, computer laboratories, classrooms and a 44,453 volume library. ","UCA / Mikhail Romanyuk ","In the media"
"Humayun's Tomb model for heritage rules","The central water channel and pool in the gardens of Humayun’s Tomb complex in Delhi were restored by AKTC in 2003. ","AKTC ","In the media"
"Aga Khan Museum to open next month","The Aga Khan Museum, Toronto.","AKDN / Gary Otte","In the media"
"Tanzania: Aga Khan Development Network to Invest U.S. $1 Billion (Sh1.6 Trillion)in Expansion Plans for Tanzania","Arusha campus site, Tanzania.","AKU","In the media"
"Civil society groups urged to protect Qutub Shahi Tombs","Qutub Shahi Tombs","AKDN/Luis Monreal","In the media"
"Heritage | After Humayun, who?","The restored dome of Humayun's tomb.","AKTC","In the media"
"More than a place to hang your hat: The Awali Adventure — Day Six","Wildebeest migration in front of Amboseli Serena Lodge and Mount Kilimanjaro ","AKDN","In the media"
"Foundation helped her, now she walks for them","","","In the media"
"Aid to a remote part of Pakistan","","","In the media"
"Top-end hotel fills gap in Kabul","View of new wing under construction of the old and damaged Kabul Hotel, 2003, Afghanistan. The new Kabul Serena Hotel restored by the Tourism and Promotion Services of AKFED, will become part of the Serena chain of hotels.","AKDN / Jean-Luc Ray","In the media"
"Goodwill Ambassador Jolie sees urgency of more aid in Pakistan","Pakistani soldiers are preparing to carry casualties on stretchers out of one of the four AKF helicopters dispatched to the area.","Carlino Luca, Karen SA","In the media"
"Alcan Sustainability Prize Awarded to Pakistani Urban Planning Organization","The projects of the Water and Sanitation Extension Programme (WASEP) in Pakistan, like this water filtration system in Gilgit-Baltistan, are being replicated with the support of governments, donors and partners.","AKDN","In the media"
"Kyrgyz, Afghan and Tajik concert sponsored by Aga Khan Music Initiative","Homayun Sakhi playing rubab. ","Kate Vincent","In the media"
